"State_Code_Origin" 	"County_Code_Origin" 	"State_Code_Dest" 	"County_Code_Dest" 	"State_Abbrv" 	"State_Name" 	"Return_Num" 	"Exmpt_Num" 	"Aggr_AGI"
"01" 	"000" 	"13" 	"000" 	"GA" 	"GEORGIA" 	7426 	14694 	293799
"01" 	"000" 	"12" 	"000" 	"FL" 	"FLORIDA" 	5744 	11079 	271960
"01" 	"000" 	"47" 	"000" 	"TN" 	"TENNESSEE" 	3638 	7031 	169674
"01" 	"000" 	"48" 	"000" 	"TX" 	"TEXAS" 	3236 	6794 	147226
"01" 	"000" 	"28" 	"000" 	"MS" 	"MISSISSIPPI" 	2691 	5543 	102563
"01" 	"000" 	"37" 	"000" 	"NC" 	"NORTH_CAROLINA" 	1638 	3393 	77300
"01" 	"000" 	"22" 	"000" 	"LA" 	"LOUISIANA" 	1520 	3089 	60704
"01" 	"000" 	"06" 	"000" 	"CA" 	"CALIFORNIA" 	1466 	2636 	59154
"01" 	"000" 	"51" 	"000" 	"VA" 	"VIRGINIA" 	1316 	2885 	72114
"01" 	"000" 	"57" 	"000" 	"FR" 	"Foreign" 	1068 	2228 	50537
"01" 	"000" 	"45" 	"000" 	"SC" 	"SOUTH_CAROLINA" 	1066 	2241 	49602
"01" 	"000" 	"39" 	"000" 	"OH" 	"OHIO" 	908 	1850 	35929
"01" 	"000" 	"17" 	"000" 	"IL" 	"ILLINOIS" 	861 	1746 	41018
"01" 	"000" 	"36" 	"000" 	"NY" 	"NEW_YORK" 	825 	1475 	31822
"01" 	"000" 	"21" 	"000" 	"KY" 	"KENTUCKY" 	750 	1612 	31783
"01" 	"000" 	"26" 	"000" 	"MI" 	"MICHIGAN" 	659 	1324 	27938
"01" 	"000" 	"18" 	"000" 	"IN" 	"INDIANA" 	568 	1155 	23441
"01" 	"000" 	"29" 	"000" 	"MO" 	"MISSOURI" 	559 	1128 	23687
"01" 	"000" 	"08" 	"000" 	"CO" 	"COLORADO" 	537 	1120 	30021
"01" 	"000" 	"04" 	"000" 	"AZ" 	"ARIZONA" 	501 	948 	23111
"01" 	"000" 	"05" 	"000" 	"AR" 	"ARKANSAS" 	482 	1020 	22694
"01" 	"000" 	"53" 	"000" 	"WA" 	"WASHINGTON" 	471 	952 	23150
"01" 	"000" 	"42" 	"000" 	"PA" 	"PENNSYLVANIA" 	447 	907 	22494
"01" 	"000" 	"24" 	"000" 	"MD" 	"MARYLAND" 	440 	824 	18985
